date,y
1/1/2000,10
1/2/2000,10
1/3/2000,3
1/4/2000,3
1/5/2000,2
1/6/2000,9
1/7/2000,4
1/8/2000,1
1/9/2000,6
1/10/2000,3
1/11/2000,8
1/12/2000,6
1/13/2000,6
1/14/2000,10
1/15/2000,2
1/16/2000,1
1/17/2000,6
1/18/2000,10
1/19/2000,7
1/20/2000,2
1/21/2000,5
1/22/2000,8
1/23/2000,7
1/24/2000,3
1/25/2000,3
1/26/2000,7
1/27/2000,10
1/28/2000,10
1/29/2000,9
1/30/2000,5
1/31/2000,2
2/1/2000,5
2/2/2000,2
2/3/2000,4
2/4/2000,5
2/5/2000,5
2/6/2000,5
2/7/2000,2
2/8/2000,2
2/9/2000,10
2/10/2000,8
2/11/2000,9
2/12/2000,4
2/13/2000,7
2/14/2000,6
2/15/2000,7
2/16/2000,10
2/17/2000,2
2/18/2000,9
2/19/2000,2
2/20/2000,7
2/21/2000,9
2/22/2000,9
2/23/2000,4
2/24/2000,8
2/25/2000,7
2/26/2000,7
2/27/2000,10
2/28/2000,6
2/29/2000,6
3/1/2000,5
3/2/2000,6
3/3/2000,2
3/4/2000,2
3/5/2000,1
3/6/2000,7
3/7/2000,10
3/8/2000,2
3/9/2000,3
3/10/2000,9
3/11/2000,9
